player_id,full_name,team_id,position,status
1962,Charles Godfrey,None,None,None
5,Tim Brown,None,None,None
6,Duke Calhoun,None,None,None
7,Michael Greco,None,None,None
8,Ayanga Okpokowuruk,None,None,None
9,Jim Cordle,None,None,None
10,Victor Cruz,None,None,None
11,Bruce Gradkowski,None,None,None
1963,Kendall Langford,HOU,DE,ACT
13,Jeremy Mincey,None,None,None
14,Jeff Webb,None,None,None
16,Jeromey Clary,None,None,None
3,Champ Bailey,None,None,None
12,Marcus Hudson,None,None,None
17,Tre' Stallings,None,None,None
18,Kris Brown,None,None,None
19,Kwame Geathers,None,None,None
20,Ben Cotton,None,None,None
21,Marcus Cromartie,None,None,None
23,Greg Brown,None,None,None
24,Jahleel Addae,SD,SS,ACT
22,Frank Beltre,None,None,None
25,Nick Becton,None,None,None
28,Michael Clayton,None,None,None
27,Sean McHugh,None,None,None
29,Keary Colbert,None,None,None
30,Davon Coleman,None,None,None
31,Junior Siavii,None,None,None
32,Shaun Phillips,None,None,None
33,Kirk Chambers,None,None,None
34,Evan Oglesby,None,None,None
35,Andre Cureton,None,None,None
36,Matt Stewart,None,None,None
37,Correll Buckhalter,None,None,None
38,Jim Leonhard,None,None,None
39,Greg Ellis,None,None,None
40,Johnny Manziel,None,None,None
41,Mike Evans,TB,WR,ACT
43,Bryce Quigley,None,None,None
44,Jay Bromley,NYG,DT,ACT
45,Zack Martin,DAL,OG,ACT
46,Demitrius Bronson,None,None,None
47,Adrian Phillips,SD,SS,ACT
48,Blake Bortles,JAC,QB,ACT
49,Dorial Green-Beckham,None,None,None
51,Frank Clark,SEA,DE,ACT
50,Tyler Lockett,SEA,WR,ACT
52,Dexter McDonald,OAK,CB,ACT
53,Damien Wilson,DAL,OLB,ACT
54,Tyler Kroft,CIN,TE,ACT
55,Donovan Smith,TB,OT,ACT
56,Rico McCoy,None,None,None
57,Vernon Harris,None,None,None
58,Amari Cooper,OAK,WR,ACT
60,Richard Sherman,SEA,CB,ACT
61,DeVante Parker,MIA,WR,ACT
62,Mark LeGree,None,None,None
63,Doug Hogue,None,None,None
64,Terrance Plummer,None,None,None
65,Lee Smith,OAK,TE,ACT
66,Nathan Enderle,None,None,None
67,Julian Vandervelde,None,None,None
68,Kevin Johnson,HOU,CB,ACT
69,Nelson Agholor,PHI,WR,ACT
70,Pete Ittersagen,None,None,None
71,Nick Sukay,None,None,None
59,Kevin White,CHI,WR,RES
72,Rodney McLeod,PHI,FS,ACT
73,Jamie Blatnick,None,None,None
